iter	Passed	Remaining
307	3725	8370
308	3730	8342
309	3737	8318
310	3751	8312
311	3765	8302
312	3778	8292
313	3789	8279
314	3801	8267
315	3814	8256
316	3827	8245
317	3838	8232
318	3851	8222
319	3863	8210
320	3869	8185
321	3876	8162
322	3887	8147
323	3900	8137
324	3905	8112
325	3916	8097
326	3929	8087
327	3940	8073
328	3953	8063
329	3960	8041
330	3967	8018
331	3974	7996
332	3982	7977
333	3990	7956
334	3997	7935
335	4005	7915
336	4012	7893
337	4019	7872
338	4026	7851
339	4033	7829
340	4042	7811
341	4055	7803
342	4061	7779
343	4072	7766
344	4084	7755
345	4098	7747
346	4108	7732
347	4115	7711
348	4123	7690
349	4130	7671
350	4137	7650
351	4146	7632
352	4153	7612
353	4161	7593
354	4168	7573
355	4175	7553
356	4183	7534
357	4190	7515
358	4198	7495
359	4204	7474
360	4211	7454
361	4219	7435
362	4226	7416
363	4233	7396
364	4240	7377
365	4247	7358
366	4254	7337
367	4261	7318
368	4269	7300
369	4276	7282
370	4284	7263
371	4290	7243
372	4297	7224
373	4303	7202
374	4315	7192
375	4329	7185
376	4341	7175
377	4356	7169
378	4370	7161
379	4383	7151
380	4394	7140
381	4408	7132
382	4420	7121
383	4440	7123
384	4458	7121
385	4469	7109
386	4483	7101
387	4491	7085
388	4498	7065
389	4505	7046
390	4512	7027
391	4519	7009
392	4526	6991
393	4533	6973
394	4540	6955
395	4548	6937
396	4556	6920
397	4563	6902
398	4571	6885
399	4581	6872
400	4593	6861
401	4605	6851
402	4619	6842
403	4630	6831
404	4649	6830
405	4661	6819
406	4672	6808
407	4685	6799
408	4697	6787
409	4801	6909
410	4806	6888
411	4811	6867
412	4817	6847
413	4829	6835
414	4841	6824
415	4853	6813
416	4866	6803
417	4881	6796
418	4893	6785
419	4923	6799
420	4935	6788
421	5055	6924
422	5095	6950
423	5103	6932
424	5110	6914
425	5118	6897
426	5127	6881
427	5135	6863
428	5149	6853
429	5156	6835
430	5163	6817
431	5171	6799
432	5177	6780
433	5186	6763
434	5193	6745
435	5204	6732
436	5211	6713
437	5219	6696
438	5226	6679
439	5234	6661
440	5241	6643
441	5248	6626
442	5256	6608
443	5263	6591
444	5276	6580
445	5289	6569
446	5301	6558
447	5314	6547
448	5326	6536
449	5340	6527
450	5357	6522
451	5362	6501
452	5387	6505
453	5395	6489
454	5400	6468
455	5406	6449
456	5416	6435
457	5426	6422
458	5438	6410
459	5450	6398
460	5463	6387
461	5475	6376
462	5489	6366
463	5501	6355
464	5513	6343
465	5525	6332
466	5538	6321
467	5550	6309
468	5563	6298
469	5660	6383
470	5670	6369
471	5677	6351
472	5685	6334
473	5693	6318
474	5701	6301
475	5709	6284
476	5716	6267
477	5724	6251
478	5732	6234
479	5739	6218
480	5747	6201
481	5754	6183
482	5761	6166
483	5769	6151
484	5777	6135
485	5785	6119
486	5792	6102
487	5799	6084
488	5807	6068
489	5815	6052
490	5822	6035
491	5829	6019
492	5836	6002
493	5844	5986
494	5851	5969
495	5858	5953
496	5866	5937
497	5871	5919
498	5877	5900
499	5883	5883
500	5889	5865
501	5899	5852
502	5915	5845
503	5926	5832
504	5939	5821
505	5952	5811
506	5965	5800
507	5977	5788
508	6005	5793
509	6021	5785
510	6035	5775
511	6052	5768
512	6060	5753
513	6067	5737
514	6076	5722
515	6083	5706
516	6091	5690
517	6098	5674
518	6105	5658
519	6112	5642
520	6118	5625
521	6127	5611
522	6134	5595
523	6143	5580
524	6149	5564
525	6156	5547
526	6163	5532
527	6172	5517
528	6179	5502
529	6188	5488
530	6196	5472
531	6202	5456
532	6208	5439
533	6214	5423
534	6224	5410
535	6236	5398
536	6248	5387
537	6262	5378
538	6275	5367
539	6286	5355
540	6298	5343
541	6310	5332
542	6322	5321
543	6334	5309
544	6342	5295
545	6350	5280
546	6357	5265
547	6365	5250
548	6374	5236
549	6381	5221
550	6389	5206
551	6397	5191
552	6403	5176
553	6411	5161
554	6418	5146
555	6426	5131
556	6433	5116
557	6440	5101
558	6452	5090
559	6463	5078
560	6497	5084
561	6503	5068
562	6508	5051
563	6521	5041
564	6532	5029
565	6545	5018
566	6555	5006
567	6563	4992
568	6571	4977
569	6578	4962
570	6585	4947
571	6592	4932
572	6601	4919
573	6608	4904
574	6615	4889
575	6622	4874
576	6629	4859
577	6636	4845
578	6643	4830
579	6650	4815
580	6657	4801
581	6664	4786
582	6671	4772
583	6679	4757
584	6686	4743
585	6693	4728
586	6702	4715
587	6714	4704
588	6725	4693
589	6739	4683
590	6753	4673
591	6765	4662
592	6778	4652
593	6791	4642
594	6803	4631
595	6816	4620
596	6828	4609
597	6845	4601
598	6857	4590
599	6869	4579
600	6924	4597
601	6931	4582
602	6936	4566
603	6941	4550
604	6948	4536
605	6954	4521
606	6959	4506
607	6966	4491
608	6972	4476
609	6981	4463
610	6986	4447
611	7003	4439
612	7019	4431
613	7026	4417
614	7034	4403
615	7044	4391
616	7051	4377
617	7058	4363
618	7066	4349
619	7074	4335
620	7081	4322
621	7087	4307
622	7094	4293
623	7102	4279
624	7109	4265
625	7116	4251
626	7124	4238
627	7131	4224
628	7138	4210
629	7145	4196
630	7152	4182
631	7159	4168
632	7166	4155
633	7177	4143
634	7188	4131
635	7200	4121
636	7212	4109
637	7223	4098
638	7236	4087
639	7282	4096
640	7291	4083
641	7307	4074
642	7313	4060
643	7318	4045
644	7324	4031
645	7330	4016
646	7335	4002
647	7341	3988
648	7347	3973
649	7353	3959
650	7359	3945
651	7365	3931
652	7371	3916
653	7376	3902
654	7382	3888
655	7389	3874
656	7395	3860
657	7401	3846
658	7408	3833
659	7415	3820
660	7422	3806
661	7428	3793
662	7436	3779
663	7444	3766
664	7449	3752
665	7454	3738
666	7460	3724
667	7465	3710
668	7471	3696
669	7476	3682
670	7481	3668
671	7487	3654
672	7492	3640
673	7497	3626
674	7503	3612
675	7509	3599
676	7515	3585
677	7521	3572
678	7528	3558
679	7533	3545
680	7539	3531
681	7545	3518
682	7551	3504
683	7557	3491
684	7563	3477
685	7569	3464
686	7574	3451
687	7581	3438
688	7587	3424
689	7593	3411
690	7599	3398
691	7605	3384
692	7611	3372
693	7618	3359
694	7625	3346
695	7632	3333
696	7639	3321
697	7645	3308
698	7651	3294
699	7657	3281
700	7662	3268
701	7669	3255
702	7673	3242
703	7679	3228
704	7685	3216
705	7691	3203
706	7700	3191
707	7706	3178
708	7712	3165
709	7718	3152
710	7724	3139
711	7730	3126
712	7736	3113
713	7741	3101
714	7747	3088
715	7753	3075
716	7761	3063
717	7767	3050
718	7774	3038
719	7781	3026
720	7788	3014
721	7795	3001
722	7802	2989
723	7809	2977
724	7817	2965
725	7825	2953
726	7831	2940
727	7841	2929
728	7852	2919
729	7863	2908
730	7870	2896
731	7878	2884
732	7885	2872
733	7892	2860
734	7900	2848
735	7907	2836
736	7915	2824
737	7924	2813
738	7929	2800
739	7934	2787
740	7947	2777
741	7965	2769
742	7977	2759
743	7988	2748
744	8001	2738
745	8014	2728
746	8028	2719
747	8040	2708
748	8053	2698
749	8068	2689
750	8079	2678
751	8092	2668
752	8103	2658
753	8116	2648
754	8127	2637
755	8211	2650
756	8223	2639
757	8233	2628
758	8240	2616
759	8245	2603
760	8250	2591
761	8255	2578
762	8264	2566
763	8275	2556
764	8288	2546
765	8302	2536
766	8318	2526
767	8330	2516
768	8341	2505
769	8412	2512
770	8423	2501
771	8436	2491
772	8449	2481
773	8463	2471
774	8476	2460
775	8488	2450
776	8499	2439
777	8511	2428
778	8523	2418
779	8536	2407
780	8549	2397
781	8562	2386
782	8573	2376
783	8593	2367
784	8604	2356
785	8689	2365
786	8700	2354
787	8713	2344
788	8726	2333
789	8738	2322
790	8751	2312
791	8764	2301
792	8775	2290
793	8782	2278
794	8801	2269
795	8815	2259
796	8828	2248
797	8896	2251
798	8907	2240
799	8919	2229
800	8933	2219
801	8946	2208
802	8958	2197
803	8970	2186
804	9020	2185
805	9033	2174
806	9038	2161
807	9054	2151
808	9067	2140
809	9079	2129
810	9162	2135
811	9174	2124
812	9185	2112
813	9197	2101
814	9208	2090
815	9220	2079
816	9232	2067
817	9245	2057
818	9256	2045
819	9263	2033
820	9270	2021
821	9277	2009
822	9285	1996
823	9294	1985
824	9301	1972
825	9308	1960
826	9316	1948
827	9324	1936
828	9331	1924
829	9338	1912
830	9352	1901
831	9363	1890
832	9389	1882
833	9408	1872
834	9418	1861
835	9425	1848
836	9432	1836
837	9439	1824
838	9445	1812
839	9452	1800
840	9460	1788
841	9470	1777
842	9477	1765
843	9484	1752
844	9492	1741
845	9505	1730
846	9519	1719
847	9530	1708
848	9610	1709
849	9616	1697
850	9627	1685
851	9633	1673
852	9638	1660
853	9650	1649
854	9663	1638
855	9675	1627
856	9688	1616
857	9703	1605
858	9716	1594
859	9786	1593
860	9798	1581
861	9811	1570
862	9824	1559
863	9836	1548
864	9850	1537
865	9862	1526
866	9875	1514
867	9913	1507
868	9918	1495
869	9926	1483
870	9934	1471
871	9939	1459
872	10031	1459
873	10037	1447
874	10073	1439
875	10078	1426
876	10083	1414
877	10089	1402
878	10098	1390
879	10113	1379
880	10128	1368
881	10140	1356
882	10203	1352
883	10215	1340
884	10235	1330
885	10245	1318
886	10252	1306
887	10260	1294
888	10267	1282
889	10274	1269
890	10282	1257
891	10288	1245
892	10294	1233
893	10302	1221
894	10309	1209
895	10316	1197
896	10323	1185
897	10330	1173
898	10338	1161
899	10345	1149
900	10352	1137
901	10360	1125
902	10367	1113
903	10377	1102
904	10390	1090
905	10422	1081
906	10427	1069
907	10433	1057
908	10442	1045
909	10479	1036
910	10486	1024
911	10492	1012
912	10500	1000
913	10508	988
914	10514	976
915	10522	964
916	10531	953
917	10539	941
918	10546	929
919	10554	917
920	10561	905
921	10569	894
922	10580	882
923	10593	871
924	10607	860
925	10622	848
926	10635	837
927	10648	826
928	10661	814
929	10672	803
930	10684	791
931	10696	780
932	10710	769
933	10722	757
934	10734	746
935	10747	734
936	10759	723
937	10771	711
938	10783	700
939	10794	689
940	10845	679
941	10853	668
942	10860	656
943	10868	644
944	10875	632
945	10882	621
946	10889	609
947	10896	597
948	10903	585
949	10909	574
950	10915	562
951	10922	550
952	10928	538
953	10940	527
954	10955	516
955	10968	504
956	11038	495
957	11049	484
958	11062	472
959	11074	461
960	11085	449
961	11098	438
962	11111	426
963	11124	415
964	11136	403
965	11142	392
966	11210	382
967	11231	371
968	11240	359
969	11246	347
970	11252	336
971	11258	324
972	11264	312
973	11270	300
974	11276	289
975	11282	277
976	11288	265
977	11294	254
978	11300	242
979	11305	230
980	11311	219
981	11316	207
982	11322	195
983	11328	184
984	11336	172
985	11343	161
986	11357	149
987	11370	138
988	11386	126
989	11455	115
990	11466	104
991	11474	92
992	11485	80
993	11495	69
994	11502	57
995	11508	46
996	11514	34
997	11520	23
998	11526	11
999	11538	0
